Project Name,Field Number,Stream depth (m),Year
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,0.69,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,1.2,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-005A,1.5,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-006A,0.67,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-006A,0.93,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-006A,0.86,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-007A,0.95,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-007A,1,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-190918-007A,1.14,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001A,0.63,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001A,0.63,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001A,1.04,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001B,0.658,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001B,0.662,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-001B,0.66,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002A,0.43,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002A,0.84,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002A,0.96,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002B,0.546,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002B,0.52,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-002B,0.59,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-003A,0.86,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-003A,0.85,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-003A,0.94,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-004A,0.84,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-004A,0.66,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-004A,0.75,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-005A,1.06,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-005A,0.83,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-005A,0.84,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-006A,0.67,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-006A,0.75,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-006A,0.89,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-007A,0.66,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-007A,0.76,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-230518-007A,0.86,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-001A,0.65,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-001A,0.85,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-001A,0.8,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-002A,0.87,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-002A,0.87,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-002A,0.94,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-003A,0.73,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-003A,0.89,2018
2018 St Clair NWA Pre-Drawdown - Lake Chubsucker Assessment,2018-NWA-LCS-240518-003A,0.9,2018
