Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-004A,1,8,Lepomis sp,28,50,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,1,1,Lepomis macrochirus,96,96,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,1,2,Amia ocellicauda,349,561,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-005A,1,4,Lepomis gibbosus,52,135,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,1,Amia ocellicauda,466,466,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,1,Erimyzon sucetta,138,138,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,8,Lepomis gibbosus,40,120,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,1,Notemigonus crysoleucas,115,115,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-280823-006A,1,1,Micropterus nigricans,101,101,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1,1,Pomoxis nigromaculatus,225,225,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1,4,Lepomis macrochirus,107,150,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1,3,Amia ocellicauda,400,495,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-001A,1,7,Lepomis gibbosus,81,176,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-002A,1,3,Lepomis gibbosus,67,78,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-002A,1,1,Notemigonus crysoleucas,54,54,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,3,Pomoxis nigromaculatus,160,258,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,8,Lepomis macrochirus,35,183,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,1,Amia ocellicauda,505,505,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,1,Erimyzon sucetta,210,210,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,5,Lepomis gibbosus,40,163,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,2,Lepomis sp,33,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-003A,1,1,Micropterus nigricans,312,312,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1,1,Pomoxis nigromaculatus,69,69,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1,2,Lepomis macrochirus,39,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1,5,Lepomis gibbosus,39,75,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-004A,1,1,Lepomis sp,41,41,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,2,Pomoxis nigromaculatus,62,65,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,5,Lepomis macrochirus,86,175,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,1,Erimyzon sucetta,122,122,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,11,Lepomis gibbosus,83,184,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,2,Umbra limi,27,27,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,1,Lepomis gibbosus X Lepomis macrochirus,109,109,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-005A,1,1,Ameiurus melas,125,125,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,1,Pomoxis nigromaculatus,240,240,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,3,Lepomis macrochirus,39,173,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,4,Erimyzon sucetta,40,173,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,9,Lepomis gibbosus,44,188,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,3,Lepomis sp,29,39,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,48,Notemigonus crysoleucas,49,128,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-290823-006A,1,2,Ameiurus melas,283,290,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,3,Pomoxis nigromaculatus,69,198,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,1,Lepomis macrochirus,51,51,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,1,Erimyzon sucetta,63,63,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,14,Lepomis gibbosus,43,93,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,4,Lepomis sp,37,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-001A,1,47,Notemigonus crysoleucas,54,207,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1,1,Lepomis macrochirus,167,167,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1,3,Amia ocellicauda,344,584,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1,3,Lepomis gibbosus,100,160,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-002A,1,1,Lepomis sp,39,39,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,5,Pomoxis nigromaculatus,147,275,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,5,Lepomis macrochirus,152,189,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,1,Amia ocellicauda,474,474,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,4,Erimyzon sucetta,59,201,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,18,Lepomis gibbosus,46,187,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,3,Notemigonus crysoleucas,51,107,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,1,Ameiurus nebulosus,287,287,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-003A,1,1,Ameiurus melas,298,298,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,2,Pomoxis nigromaculatus,145,243,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,2,Lepomis macrochirus,43,180,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,1,Amia ocellicauda,430,430,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,1,Erimyzon sucetta,56,56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,3,Lepomis gibbosus,83,155,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-004A,1,2,Lepomis sp,37,45,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,1,2,Pomoxis nigromaculatus,185,243,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,1,4,Lepomis gibbosus,70,79,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-005A,1,1,Umbra limi,35,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,5,Pomoxis nigromaculatus,69,245,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,21,Lepomis macrochirus,35,92,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,23,Erimyzon sucetta,45,117,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,49,Lepomis gibbosus,36,113,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,4,Lepomis sp,34,49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,34,Notemigonus crysoleucas,49,109,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,1,Micropterus nigricans,87,87,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-300823-006A,1,1,Umbra limi,80,80,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,1,2,Pomoxis nigromaculatus,70,71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,1,4,Lepomis gibbosus,64,74,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,1,1,Umbra limi,44,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-006A,1,1,Esox lucius,485,485,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,3,Pomoxis nigromaculatus,55,222,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,8,Lepomis macrochirus,37,117,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,11,Erimyzon sucetta,50,295,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,72,Lepomis gibbosus,39,142,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,2,Lepomis sp,27,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,60,Notemigonus crysoleucas,47,61,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,12,Micropterus nigricans,52,95,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,1,Ameiurus nebulosus,279,279,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-001A,1,2,Esox lucius,185,219,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,4,Erimyzon sucetta,129,167,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,8,Lepomis macrochirus,33,95,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,2,Pomoxis nigromaculatus,60,60,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,5,Amia ocellicauda,384,519,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,66,Lepomis gibbosus,30,128,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,15,Lepomis sp,29,40,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,13,Notemigonus crysoleucas,50,107,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,17,Micropterus nigricans,49,71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,1,Umbra limi,42,42,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,1,Ameiurus nebulosus,390,390,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,2,Cyprinus carpio,75,237,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-002A,1,1,Ameiurus melas,55,55,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,2,Pomoxis nigromaculatus,62,253,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,1,Lepomis macrochirus,53,53,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,13,Erimyzon sucetta,50,60,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,15,Lepomis gibbosus,37,138,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,3,Lepomis sp,26,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-003A,1,2,Micropterus nigricans,58,74,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,2,Pomoxis nigromaculatus,65,196,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,1,Lepomis macrochirus,37,37,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,1,Amia ocellicauda,568,568,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,1,Erimyzon sucetta,189,189,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,5,Lepomis gibbosus,39,123,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,1,Lepomis sp,35,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,2,Micropterus nigricans,223,303,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-004A,1,2,Umbra limi,31,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1,5,Pomoxis nigromaculatus,50,179,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1,1,Lepomis macrochirus,174,174,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1,14,Lepomis gibbosus,32,193,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-005A,1,6,Lepomis sp,29,40,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,7,Pomoxis nigromaculatus,169,235,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,2,Lepomis macrochirus,180,184,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,1,Amia ocellicauda,402,402,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,7,Lepomis gibbosus,42,170,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,3,Lepomis sp,36,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-160823-006A,1,2,Ameiurus nebulosus,291,312,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,23,Lepomis macrochirus,71,139,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,4,Amia ocellicauda,385,579,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,3,Erimyzon sucetta,52,53,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,51,Lepomis gibbosus,34,199,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,9,Lepomis sp,30,39,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,32,Notemigonus crysoleucas,35,62,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-002A,1,4,Micropterus nigricans,54,321,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-003A,1,1,Amia ocellicauda,380,380,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,1,Pomoxis nigromaculatus,198,198,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,2,Amia ocellicauda,398,554,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,10,Erimyzon sucetta,48,61,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,6,Lepomis gibbosus,62,76,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,16,Lepomis sp,26,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,7,Notemigonus crysoleucas,47,60,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,1,Umbra limi,49,49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-004A,1,1,Esox lucius,563,563,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,1,3,Erimyzon sucetta,50,140,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,1,1,Lepomis gibbosus,80,80,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-005A,1,1,Lepomis sp,33,33,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,1,2,Lepomis macrochirus,40,88,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,1,1,Amia ocellicauda,393,393,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,1,3,Lepomis gibbosus,39,140,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,1,1,Ameiurus melas,306,306,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-006A,1,1,Lepomis sp,40,40,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-003A,1,0,No fish captured,,,2023
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,1,6,Amia ocellicauda,468,570,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,1,28,Notemigonus crysoleucas,37,54,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,1,23,Micropterus nigricans,55,70,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,1,2,Pomoxis nigromaculatus,80,,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-001A,1,15,Lepomis gibbosus,37,106,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-002A,1,1,Umbra limi,33,33,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-002A,1,1,Lepomis gibbosus,116,116,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,1,Amia ocellicauda,439,439,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,19,Pomoxis nigromaculatus,56,255,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,1,Erimyzon sucetta,126,126,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,62,Notemigonus crysoleucas,37,132,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,13,Lepomis gibbosus,47,166,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,1,Perca flavescens,86,86,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,3,Micropterus nigricans,63,66,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-003A,1,4,Lepomis macrochirus,42,91,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,1,1,Micropterus nigricans,68,68,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,1,2,Pomoxis nigromaculatus,51,58,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-004A,1,1,Lepomis gibbosus,102,102,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-005A,1,2,Amia ocellicauda,461,497,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-070824-005A,1,1,Micropterus nigricans,70,70,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1,2,Lepomis gibbosus,110,162,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1,2,Pomoxis nigromaculatus,67,72,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1,4,Lepomis macrochirus,101,160,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-001A,1,2,Micropterus nigricans,56,56,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-002A,1,5,Lepomis gibbosus,77,115,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1,4,Micropterus nigricans,56,71,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1,3,Pomoxis nigromaculatus,64,255,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1,2,Lepomis gibbosus,109,122,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-003A,1,2,Notemigonus crysoleucas,86,94,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,1,8,Lepomis gibbosus,82,183,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,1,1,Esox lucius,365,365,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-004A,1,2,Micropterus nigricans,60,75,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1,1,Amia ocellicauda,415,415,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1,8,Lepomis gibbosus,32,166,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1,3,Lepomis macrochirus,82,175,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1,3,Pomoxis nigromaculatus,221,251,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-080824-005A,1,1,Micropterus nigricans,170,170,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,1,6,Micropterus nigricans,51,69,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,1,10,Lepomis gibbosus,70,144,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,1,4,Pomoxis nigromaculatus,63,192,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,1,8,Lepomis macrochirus,30,115,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-001A,1,28,Notemigonus crysoleucas,43,96,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,1,1,Micropterus nigricans,77,77,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,1,1,Pomoxis nigromaculatus,137,137,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,1,1,Umbra limi,57,57,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-002A,1,4,Lepomis gibbosus,38,77,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,1,1,Esox lucius,480,480,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,1,2,Amia ocellicauda,460,513,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-003A,1,3,Umbra limi,56,84,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,1,5,Lepomis macrochirus,37,60,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,1,7,Lepomis gibbosus,37,129,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,1,3,Pomoxis nigromaculatus,66,66,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-004A,1,3,Micropterus nigricans,63,80,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,1,1,Amia ocellicauda,385,385,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,1,1,Umbra limi,75,75,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,1,2,Micropterus nigricans,64,64,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,1,1,Pomoxis nigromaculatus,65,65,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-120824-005A,1,1,Lepomis gibbosus,119,119,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,7,Amia ocellicauda,415,509,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,1,Umbra limi,27,27,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,3,Pomoxis nigromaculatus,61,69,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,2,Notemigonus crysoleucas,52,57,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-001A,1,3,Micropterus nigricans,61,83,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,13,Micropterus nigricans,52,90,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,13,Lepomis gibbosus,37,120,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,4,Notemigonus crysoleucas,43,63,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,2,Pomoxis nigromaculatus,62,64,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,1,Umbra limi,43,43,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-002A,1,1,Lepomis macrochirus,167,167,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-003A,1,3,Amia ocellicauda,434,462,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-003A,1,3,Umbra limi,38,52,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1,3,Amia ocellicauda,451,495,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1,5,Micropterus nigricans,62,72,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1,5,Lepomis gibbosus,40,91,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1,8,Notemigonus crysoleucas,44,97,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-004A,1,2,Lepomis macrochirus,40,41,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,1,4,Amia ocellicauda,440,489,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,1,1,Pomoxis nigromaculatus,77,77,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-130824-005A,1,2,Notemigonus crysoleucas,52,54,2024
2024 Lake Chubsucker - St. Clair NWA,2024-LCS-NWA-140824-001A,1,8,Amia ocellicauda,430,605,2024
