Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-005A,1,1,Umbra limi,38,38,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-005A,1,2,Amia ocellicauda,407,410,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-006A,1,3,Amia ocellicauda,388,576,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-006A,1,1,Lepomis macrochirus,179,179,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-090823-006A,1,6,Lepomis gibbosus,113,141,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1,1,Lepomis gibbosus,69,69,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1,4,Lepomis sp,29,35,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1,5,Pomoxis nigromaculatus,64,232,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1,1,Lepomis macrochirus,38,38,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-001A,1,1,Ameiurus melas,304,304,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,33,Lepomis macrochirus,28,129,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,104,Lepomis sp,19,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,2,Notemigonus crysoleucas,96,126,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,1,Micropterus nigricans,62,62,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,4,Pomoxis nigromaculatus,183,246,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-002A,1,4,Lepomis gibbosus,47,183,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,2,Notemigonus crysoleucas,100,100,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,5,Lepomis sp,32,37,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-100823-003A,1,1,Lepomis gibbosus,160,160,2023
